team,team_id,league_id,games_played,opp_pts,opp_pts_rank,opp_2ptm,opp_2ptm_rank,opp_2pta,opp_2pta_rank,opp_3ptm,opp_3ptm_rank,opp_3pta,opp_3pta_rank,opp_fgm,opp_fgm_rank,opp_fga,opp_fga_rank,opp_ftm,opp_ftm_rank,opp_fta,opp_fta_rank,opp_def,opp_def_rank,opp_off,opp_off_rank,opp_reb,opp_reb_rank,opp_pf,opp_pf_rank,opp_stl,opp_stl_rank,opp_to,opp_to_rank,opp_ast,opp_ast_rank,opp_blk,opp_blk_rank,opp_blka,opp_blka_rank,opp_rate,opp_rate_rank,opp_fast_break_pts,opp_fast_break_pts_rank,opp_points_in_paint,opp_points_in_paint_rank,opp_2pt_pct,opp_2pt_pct_rank,opp_3pt_pct,opp_3pt_pct_rank,opp_fg_pct,opp_fg_pct_rank,opp_ft_pct,opp_ft_pct_rank,opp_possessions,opp_possessions_rank
א.ס. עירוני אשקלון,920,1,1,92.0,9,29.0,10,43.0,6,9.0,5,27.0,5,38.0,10,70.0,6,7.0,1,10.0,1,24.0,2,13.0,6,37.0,2,19.0,3,7.0,5,14.0,5,24.0,8,4.0,9,1.0,2,113.0,8,14.0,2,56.0,10,67.4,10,33.3,5,54.3,9,70.0,4,75.4,4
אליצור יבנה,168,1,1,76.0,2,20.0,4,49.0,9,6.0,2,29.0,8,26.0,2,78.0,9,18.0,7,24.0,7,31.0,8,19.0,9,50.0,10,26.0,9,4.0,2,10.0,9,21.0,5,1.0,2,7.0,10,71.0,1,14.0,2,32.0,2,40.8,3,20.7,2,33.3,2,75.0,6,79.6,7
אליצור שומרון,4083,1,1,79.0,3,11.0,1,29.0,1,12.0,8,42.0,10,23.0,1,71.0,8,21.0,8,27.0,8,24.0,2,17.0,8,41.0,7,20.0,4,14.0,10,9.0,10,16.0,3,0.0,1,3.0,8,85.0,4,14.0,2,18.0,1,37.9,2,28.6,4,32.4,1,77.8,8,74.9,3
הפועל חיפה,4153,1,1,74.0,1,22.0,7,34.0,3,7.0,3,19.0,1,29.0,4,53.0,1,9.0,2,16.0,2,32.0,9,5.0,1,37.0,2,23.0,8,4.0,2,18.0,1,15.0,2,3.0,8,0.0,1,79.0,3,15.0,6,36.0,4,64.7,9,36.8,7,54.7,10,56.2,1,73.0,1
הפועל מגדל העמק/יזרעאל,2267,1,1,80.0,4,19.0,2,36.0,4,10.0,7,29.0,8,29.0,4,65.0,3,12.0,3,17.0,3,28.0,5,9.0,3,37.0,2,18.0,1,2.0,1,15.0,3,24.0,8,1.0,2,2.0,6,88.0,5,13.0,1,38.0,6,52.8,6,34.5,6,44.6,5,70.6,5,78.5,6
מ.כ עוטף דרום,12645,1,1,87.0,5,23.0,8,47.0,7,9.0,5,23.0,3,32.0,8,70.0,6,14.0,4,17.0,3,27.0,4,11.0,5,38.0,6,30.0,10,7.0,5,18.0,1,14.0,1,1.0,2,2.0,6,78.0,2,17.0,7,42.0,8,48.9,4,39.1,8,45.7,6,82.4,9,84.5,10
מ.ס צפת,4818,1,1,90.0,8,20.0,4,39.0,5,12.0,8,27.0,5,32.0,8,66.0,4,14.0,4,21.0,6,28.0,5,8.0,2,36.0,1,20.0,4,7.0,5,11.0,7,22.0,6,2.0,6,1.0,2,102.0,7,20.0,8,36.0,4,51.3,5,44.4,10,48.5,8,66.7,2,78.2,5
מכבי אשדוד,7261,1,1,88.0,7,19.0,2,51.0,10,12.0,8,28.0,7,31.0,7,79.0,10,14.0,4,17.0,3,21.0,1,24.0,10,45.0,8,18.0,1,6.0,4,12.0,6,18.0,4,1.0,2,4.0,9,92.0,6,14.0,2,34.0,3,37.3,1,42.9,9,39.2,3,82.4,9,74.5,2
מכבי חיפה,69,1,1,87.0,5,26.0,9,48.0,8,4.0,1,20.0,2,30.0,6,68.0,5,23.0,9,34.0,9,36.0,10,13.0,6,49.0,9,20.0,4,7.0,5,11.0,7,23.0,7,7.0,10,1.0,2,118.0,9,20.0,8,48.0,9,54.2,7,20.0,1,44.1,4,67.6,3,81.0,8
מכבי קרית גת,3043,1,1,94.0,10,20.0,4,33.0,2,7.0,3,25.0,4,27.0,3,58.0,2,33.0,10,43.0,10,28.0,5,9.0,3,37.0,2,22.0,7,11.0,9,15.0,3,27.0,10,2.0,6,1.0,2,122.0,10,28.0,10,40.0,7,60.6,8,28.0,3,46.6,7,76.7,7,82.9,9
