game_id,league_id,team,team_id,opponent,opponent_id,game_date,quarter,score,score_against
741605,,אליצור יבנה,,מכבי חיפה גיא נתן,,,Q1,23,22
741605,,אליצור יבנה,,מכבי חיפה גיא נתן,,,Q2,17,23
741605,,אליצור יבנה,,מכבי חיפה גיא נתן,,,Q3,28,17
741605,,אליצור יבנה,,מכבי חיפה גיא נתן,,,Q4,19,14
741605,,מכבי חיפה גיא נתן,,אליצור יבנה,,,Q1,22,23
741605,,מכבי חיפה גיא נתן,,אליצור יבנה,,,Q2,23,17
741605,,מכבי חיפה גיא נתן,,אליצור יבנה,,,Q3,17,28
741605,,מכבי חיפה גיא נתן,,אליצור יבנה,,,Q4,14,19
741602,,הפועל חיפה,,אליצור שומרון,,,Q1,19,16
741602,,הפועל חיפה,,אליצור שומרון,,,Q2,23,23
741602,,הפועל חיפה,,אליצור שומרון,,,Q3,17,10
741602,,הפועל חיפה,,אליצור שומרון,,,Q4,20,25
741602,,אליצור שומרון,,הפועל חיפה,,,Q1,16,19
741602,,אליצור שומרון,,הפועל חיפה,,,Q2,23,23
741602,,אליצור שומרון,,הפועל חיפה,,,Q3,10,17
741602,,אליצור שומרון,,הפועל חיפה,,,Q4,25,20
741606,,מכבי אשדוד,,א.ס. עירוני אשקלון,,,Q1,16,21
741606,,מכבי אשדוד,,א.ס. עירוני אשקלון,,,Q2,22,22
741606,,מכבי אשדוד,,א.ס. עירוני אשקלון,,,Q3,34,21
741606,,מכבי אשדוד,,א.ס. עירוני אשקלון,,,Q4,20,24
741606,,א.ס. עירוני אשקלון,,מכבי אשדוד,,,Q1,21,16
741606,,א.ס. עירוני אשקלון,,מכבי אשדוד,,,Q2,22,22
741606,,א.ס. עירוני אשקלון,,מכבי אשדוד,,,Q3,21,34
741606,,א.ס. עירוני אשקלון,,מכבי אשדוד,,,Q4,24,20
1_741605,1,אליצור יבנה,cc51233b8820,מכבי חיפה גיא נתן,d883af1eac16,,Q1,23,22
1_741605,1,אליצור יבנה,cc51233b8820,מכבי חיפה גיא נתן,d883af1eac16,,Q2,17,23
1_741605,1,אליצור יבנה,cc51233b8820,מכבי חיפה גיא נתן,d883af1eac16,,Q3,28,17
1_741605,1,אליצור יבנה,cc51233b8820,מכבי חיפה גיא נתן,d883af1eac16,,Q4,19,14
1_741605,1,מכבי חיפה גיא נתן,d883af1eac16,אליצור יבנה,cc51233b8820,,Q1,22,23
1_741605,1,מכבי חיפה גיא נתן,d883af1eac16,אליצור יבנה,cc51233b8820,,Q2,23,17
1_741605,1,מכבי חיפה גיא נתן,d883af1eac16,אליצור יבנה,cc51233b8820,,Q3,17,28
1_741605,1,מכבי חיפה גיא נתן,d883af1eac16,אליצור יבנה,cc51233b8820,,Q4,14,19
1_741602,1,הפועל חיפה,535730fc8846,אליצור שומרון,6fe3609c50f2,,Q1,19,16
1_741602,1,הפועל חיפה,535730fc8846,אליצור שומרון,6fe3609c50f2,,Q2,23,23
1_741602,1,הפועל חיפה,535730fc8846,אליצור שומרון,6fe3609c50f2,,Q3,17,10
1_741602,1,הפועל חיפה,535730fc8846,אליצור שומרון,6fe3609c50f2,,Q4,20,25
1_741602,1,אליצור שומרון,6fe3609c50f2,הפועל חיפה,535730fc8846,,Q1,16,19
1_741602,1,אליצור שומרון,6fe3609c50f2,הפועל חיפה,535730fc8846,,Q2,23,23
1_741602,1,אליצור שומרון,6fe3609c50f2,הפועל חיפה,535730fc8846,,Q3,10,17
1_741602,1,אליצור שומרון,6fe3609c50f2,הפועל חיפה,535730fc8846,,Q4,25,20
1_741606,1,מכבי אשדוד,dca52004fb4f,א.ס. עירוני אשקלון,9810d8dd0df2,,Q1,16,21
1_741606,1,מכבי אשדוד,dca52004fb4f,א.ס. עירוני אשקלון,9810d8dd0df2,,Q2,22,22
1_741606,1,מכבי אשדוד,dca52004fb4f,א.ס. עירוני אשקלון,9810d8dd0df2,,Q3,34,21
1_741606,1,מכבי אשדוד,dca52004fb4f,א.ס. עירוני אשקלון,9810d8dd0df2,,Q4,20,24
1_741606,1,א.ס. עירוני אשקלון,9810d8dd0df2,מכבי אשדוד,dca52004fb4f,,Q1,21,16
1_741606,1,א.ס. עירוני אשקלון,9810d8dd0df2,מכבי אשדוד,dca52004fb4f,,Q2,22,22
1_741606,1,א.ס. עירוני אשקלון,9810d8dd0df2,מכבי אשדוד,dca52004fb4f,,Q3,21,34
